PO_Number,Supplier,PO_Date,Item,Ordered_Qty,Received_Qty,PO_Amount,Buyer,PO_Status
PO0343,Vertex Industries,2026-03-11,Storage Rack,356,190,13528,Daniel,Partial
PO0344,Rapid Components,2026-06-30,Steel Cabinet,357,197,23562,Robert,Open
PO0345,Future Materials,2025-08-16,Locker,310,35,6820,James,Open
PO0346,Future Materials,2025-09-09,Office Chair,456,51,34200,Robert,Partial
PO0347,Blue Manufacturing,2025-07-09,Computer Desk,81,12,7209,Linda,Partial
PO0348,ABC Metals,2026-05-12,Storage Rack,404,299,33128,Alice,Closed
PO0349,Prime Industries,2025-08-01,Metal Shelf,277,5,32132,Alice,Closed
PO0350,Vertex Industries,2025-10-02,Steel Cabinet,406,192,12992,James,Closed
PO0351,Rapid Components,2025-11-05,Office Chair,79,31,7426,Linda,Closed
PO0352,Prime Industries,2025-09-02,Locker,213,104,18318,Robert,Closed
PO0353,Vertex Industries,2025-12-31,Tool Box,409,34,18405,Daniel,Open
PO0354,Global Steel,2026-04-15,Workbench,230,189,12190,Linda,Partial
PO0355,Industrial Parts,2025-09-09,Workbench,360,104,16560,Robert,Partial
PO0356,Future Materials,2025-10-09,Wooden Table,247,81,14326,Linda,Closed
PO0357,Titan Supply,2026-03-01,Wooden Table,499,123,22954,James,Open
PO0358,Future Materials,2025-12-09,Office Chair,486,433,16524,Robert,Closed
PO0359,ABC Metals,2025-08-20,Office Chair,296,197,21904,Linda,Open
PO0360,Rapid Components,2026-06-01,Storage Rack,214,188,22256,Linda,Closed
PO0361,Blue Manufacturing,2026-02-12,Steel Cabinet,292,104,12264,James,Partial
PO0362,Global Steel,2026-03-18,Computer Desk,234,61,10764,James,Open
PO0363,Rapid Components,2025-08-26,Wooden Table,477,339,42453,Robert,Closed
PO0364,Future Materials,2026-07-02,Wooden Table,343,164,8575,Linda,Open
PO0365,Global Steel,2025-07-06,Metal Shelf,246,119,9102,James,Partial
PO0366,Titan Supply,2025-08-09,Storage Rack,474,442,56406,Linda,Open
PO0367,Global Steel,2025-08-30,Locker,156,68,7332,Daniel,Open
PO0368,Prime Industries,2025-12-11,Wooden Table,352,174,28512,Linda,Open
PO0369,Titan Supply,2026-04-08,Filing Cabinet,316,67,19908,Alice,Closed
PO0370,Prime Industries,2025-08-01,Tool Box,279,76,10323,James,Partial
PO0371,Future Materials,2025-12-14,Filing Cabinet,348,225,17748,Linda,Partial
PO0372,Rapid Components,2026-02-22,Workbench,105,17,12075,Alice,Open
PO0373,Global Steel,2026-05-09,Office Chair,348,207,26100,Robert,Open
PO0374,Global Steel,2026-01-21,Workbench,449,251,26042,James,Open
PO0375,Future Materials,2026-01-22,Wooden Table,401,361,36090,Linda,Closed
PO0376,Rapid Components,2025-12-04,Storage Rack,371,183,44149,James,Partial
PO0377,Global Steel,2026-02-07,Office Chair,404,300,40400,James,Open
PO0378,Global Steel,2025-09-01,Filing Cabinet,348,123,13572,James,Open
PO0379,Prime Industries,2025-10-11,Workbench,328,307,27224,Alice,Closed
PO0380,Rapid Components,2025-11-01,Tool Box,483,290,57477,Robert,Open
PO0381,Future Materials,2025-08-10,Steel Cabinet,257,140,5911,Daniel,Closed
PO0382,United Supplies,2025-09-28,Metal Shelf,201,120,16482,James,Closed
PO0383,Prime Industries,2025-11-28,Workbench,407,163,47619,Robert,Partial
PO0384,Titan Supply,2026-02-05,Filing Cabinet,313,264,35369,Robert,Open
PO0385,Vertex Industries,2026-01-25,Tool Box,146,98,16790,Robert,Partial
PO0386,Global Steel,2025-09-14,Metal Shelf,432,51,14256,Robert,Closed
PO0387,United Supplies,2026-04-08,Office Chair,461,100,18901,Linda,Open
PO0388,Industrial Parts,2026-02-21,Workbench,383,182,35619,Linda,Partial
PO0389,Vertex Industries,2026-02-06,Steel Cabinet,131,8,6157,Daniel,Open
PO0390,Vertex Industries,2025-10-10,Storage Rack,94,77,2444,Daniel,Open
PO0391,Global Steel,2025-08-13,Locker,398,33,19104,Alice,Open
PO0392,Vertex Industries,2025-12-25,Steel Cabinet,322,184,28336,Alice,Partial
PO0393,ABC Metals,2025-09-14,Steel Cabinet,405,350,10125,Daniel,Closed
PO0394,Titan Supply,2026-06-26,Wooden Table,142,8,5538,Linda,Open
PO0395,ABC Metals,2026-06-17,Filing Cabinet,61,13,2440,James,Open
PO0396,Prime Industries,2026-03-13,Wooden Table,363,140,18876,James,Open
PO0397,Future Materials,2025-07-22,Tool Box,246,176,5412,Alice,Open
PO0398,Prime Industries,2025-11-24,Locker,361,54,23826,Alice,Partial
PO0399,ABC Metals,2026-03-29,Metal Shelf,83,23,5063,Daniel,Closed
PO0400,Global Steel,2025-10-09,Office Chair,448,131,22848,Linda,Closed
PO0401,Industrial Parts,2026-01-08,Locker,117,50,6084,Linda,Partial
PO0402,Global Steel,2025-10-09,Computer Desk,330,321,8910,Linda,Partial
PO0403,Industrial Parts,2026-06-09,Tool Box,50,24,1400,Daniel,Open
PO0404,Rapid Components,2025-10-02,Computer Desk,332,180,27556,Linda,Closed
PO0405,Blue Manufacturing,2026-01-10,Storage Rack,194,156,22116,Robert,Open
PO0406,Titan Supply,2025-11-29,Tool Box,202,18,4242,James,Open
PO0407,ABC Metals,2026-04-03,Office Chair,234,18,26208,Alice,Open
PO0408,Global Steel,2026-03-06,Locker,470,273,28200,Robert,Closed
PO0409,Titan Supply,2025-10-26,Tool Box,473,357,54395,Linda,Closed
PO0410,Global Steel,2025-07-29,Storage Rack,57,13,4674,Daniel,Closed
PO0411,Prime Industries,2026-06-13,Office Chair,315,51,28980,Robert,Partial
PO0412,Global Steel,2025-08-08,Filing Cabinet,96,40,9504,Alice,Closed
PO0413,Rapid Components,2025-12-07,Workbench,227,18,27013,Linda,Partial
PO0414,Prime Industries,2026-04-12,Locker,372,29,18972,Alice,Closed
PO0415,Rapid Components,2026-04-05,Wooden Table,158,69,18486,James,Partial
PO0416,Industrial Parts,2025-08-14,Wooden Table,62,0,7068,James,Closed
PO0417,Rapid Components,2025-12-21,Steel Cabinet,418,44,27170,James,Closed
PO0418,Blue Manufacturing,2026-05-31,Metal Shelf,280,276,22960,Robert,Partial
PO0419,Prime Industries,2025-11-15,Wooden Table,113,4,7458,James,Partial
PO0420,Rapid Components,2026-03-29,Tool Box,111,50,12654,Alice,Closed
PO0421,Blue Manufacturing,2025-07-10,Locker,78,76,5304,Daniel,Partial
PO0422,Future Materials,2026-01-26,Metal Shelf,205,78,14350,Linda,Partial
PO0423,Titan Supply,2025-09-19,Wooden Table,331,81,37072,Linda,Partial
PO0424,United Supplies,2026-03-07,Computer Desk,291,66,33465,Linda,Closed
PO0425,Blue Manufacturing,2026-01-18,Filing Cabinet,92,18,3680,Linda,Partial
PO0426,Future Materials,2025-12-14,Storage Rack,478,196,41586,Daniel,Open
PO0427,ABC Metals,2025-12-29,Filing Cabinet,116,56,8700,Linda,Closed
PO0428,Vertex Industries,2026-01-09,Metal Shelf,288,22,34560,James,Closed
PO0429,Industrial Parts,2025-12-24,Wooden Table,420,163,15120,Alice,Partial
PO0430,Vertex Industries,2025-07-15,Tool Box,425,303,14875,Daniel,Open
PO0431,Global Steel,2025-08-30,Steel Cabinet,452,199,32092,Alice,Open
PO0432,Prime Industries,2025-07-30,Tool Box,230,13,20470,James,Closed
PO0433,Prime Industries,2025-10-01,Workbench,182,152,21840,Alice,Closed
PO0434,Global Steel,2025-07-19,Filing Cabinet,197,192,21670,James,Open
PO0435,Prime Industries,2025-12-01,Workbench,406,288,47502,Alice,Open
PO0436,ABC Metals,2026-04-11,Workbench,323,166,29716,Alice,Partial
PO0437,Blue Manufacturing,2025-12-19,Metal Shelf,353,219,36712,Robert,Open
PO0438,Blue Manufacturing,2026-04-29,Steel Cabinet,314,135,25748,Alice,Open
PO0439,Vertex Industries,2026-01-06,Locker,91,28,3731,Daniel,Open
PO0440,United Supplies,2025-10-03,Steel Cabinet,500,275,43500,Daniel,Closed
PO0441,United Supplies,2025-09-15,Office Chair,70,62,2170,Linda,Closed
PO0442,Rapid Components,2026-01-15,Workbench,236,22,4956,James,Open
PO0443,Vertex Industries,2026-03-28,Filing Cabinet,238,179,16898,Daniel,Open
PO0444,Titan Supply,2026-01-03,Metal Shelf,267,179,8544,Linda,Open
PO0445,Vertex Industries,2025-08-19,Steel Cabinet,114,34,7068,Daniel,Partial
PO0446,United Supplies,2026-05-30,Computer Desk,174,127,9744,Alice,Closed
PO0447,ABC Metals,2025-11-18,Metal Shelf,340,207,12920,Linda,Closed
PO0448,Rapid Components,2026-05-14,Locker,289,119,29189,Alice,Open
PO0449,Blue Manufacturing,2025-10-10,Wooden Table,488,381,12688,Linda,Partial
PO0450,Prime Industries,2026-06-04,Filing Cabinet,404,85,46864,Alice,Open
PO0451,Titan Supply,2026-04-15,Storage Rack,320,126,31360,Robert,Open
PO0452,Titan Supply,2025-10-27,Workbench,369,288,34317,Alice,Partial
PO0453,ABC Metals,2025-07-02,Tool Box,149,3,3278,Linda,Partial
PO0454,Titan Supply,2026-04-07,Steel Cabinet,55,46,6050,Robert,Partial
PO0455,Prime Industries,2026-05-18,Office Chair,440,42,8800,Alice,Open
PO0456,Titan Supply,2025-09-25,Metal Shelf,200,94,17400,Daniel,Open
PO0457,Rapid Components,2026-01-02,Computer Desk,324,302,6804,Linda,Open
PO0458,Industrial Parts,2025-08-06,Locker,198,192,15840,Linda,Open
PO0459,Prime Industries,2025-10-24,Metal Shelf,242,207,12342,Linda,Open
PO0460,Titan Supply,2026-06-12,Filing Cabinet,424,288,47488,Daniel,Open
PO0461,United Supplies,2025-12-14,Tool Box,123,72,9471,Daniel,Partial
PO0462,Blue Manufacturing,2026-04-14,Workbench,333,222,33300,Linda,Closed
PO0463,Blue Manufacturing,2026-03-13,Tool Box,67,54,2680,Daniel,Open
PO0464,United Supplies,2025-12-28,Locker,123,12,4428,James,Partial
PO0465,Titan Supply,2026-01-19,Workbench,484,379,57112,James,Closed
PO0466,ABC Metals,2025-09-25,Steel Cabinet,132,120,4488,Linda,Partial
PO0467,United Supplies,2025-09-23,Metal Shelf,184,148,3680,James,Open
PO0468,Blue Manufacturing,2026-06-18,Locker,301,79,26187,Daniel,Closed
PO0469,United Supplies,2025-09-08,Workbench,96,93,5088,James,Open
PO0470,Blue Manufacturing,2025-11-22,Metal Shelf,436,306,45344,Robert,Closed
PO0471,United Supplies,2025-09-25,Steel Cabinet,433,175,45465,Daniel,Open
PO0472,Industrial Parts,2025-08-16,Steel Cabinet,110,60,12760,Daniel,Partial
PO0473,Blue Manufacturing,2026-02-28,Steel Cabinet,413,212,39235,Alice,Partial
PO0474,Rapid Components,2025-12-30,Office Chair,218,87,24634,Alice,Open
PO0475,Blue Manufacturing,2025-10-02,Tool Box,120,31,12600,Robert,Partial
PO0476,Prime Industries,2026-01-09,Locker,405,208,39690,Robert,Partial
PO0477,Global Steel,2025-12-11,Workbench,375,151,25875,James,Closed
PO0478,Global Steel,2026-01-18,Locker,135,91,14580,Linda,Closed
PO0479,Blue Manufacturing,2026-01-29,Locker,92,59,5152,Linda,Partial
PO0480,Future Materials,2025-07-30,Workbench,308,299,22484,Alice,Partial
PO0481,Future Materials,2026-04-25,Filing Cabinet,304,191,13072,Robert,Partial
PO0482,Rapid Components,2025-10-20,Filing Cabinet,462,21,11088,Robert,Closed
PO0483,Prime Industries,2025-07-14,Tool Box,367,218,27892,Robert,Closed
PO0484,Titan Supply,2025-12-03,Computer Desk,289,70,30923,Linda,Partial
PO0485,Blue Manufacturing,2026-05-06,Steel Cabinet,324,163,13608,Alice,Open
PO0486,Rapid Components,2026-02-25,Filing Cabinet,158,131,15800,Daniel,Open
PO0487,Industrial Parts,2025-09-05,Tool Box,408,45,39984,Linda,Partial
PO0488,Global Steel,2026-03-26,Steel Cabinet,72,48,2016,Linda,Partial
PO0489,Vertex Industries,2026-03-29,Office Chair,164,46,17220,James,Closed
PO0490,ABC Metals,2026-01-31,Steel Cabinet,451,385,52316,James,Closed
PO0491,Titan Supply,2025-09-20,Storage Rack,70,16,7140,Alice,Open
PO0492,Prime Industries,2025-09-30,Wooden Table,98,79,4802,Alice,Closed
PO0493,Rapid Components,2026-02-12,Filing Cabinet,92,32,8740,James,Open
PO0494,Industrial Parts,2026-06-01,Storage Rack,441,181,8820,Daniel,Open
PO0495,Rapid Components,2026-02-12,Filing Cabinet,328,137,30504,Robert,Closed
PO0496,Industrial Parts,2026-05-15,Locker,404,70,47268,Robert,Open
PO0497,ABC Metals,2025-12-13,Workbench,442,256,23426,Alice,Partial
PO0498,Future Materials,2025-08-21,Filing Cabinet,396,352,26136,Robert,Closed
PO0499,Blue Manufacturing,2025-08-19,Tool Box,176,5,6336,Linda,Open
PO0500,Future Materials,2026-02-01,Locker,439,232,23706,James,Closed
