SO_Number,Customer,Sales_Date,Product,Order_Qty,Sales_Amount,Status
SO0427,Dell,2025-12-29,Filing Cabinet,116,14500,Cancelled
SO0428,Dell,2026-01-09,Metal Shelf,288,59040,Cancelled
SO0429,Samsung,2025-12-24,Wooden Table,420,72240,Completed
SO0430,Tesla,2025-07-15,Tool Box,425,75225,Open
SO0431,HP,2025-08-30,Steel Cabinet,452,78648,Open
SO0432,Amazon,2025-07-30,Tool Box,230,26680,Completed
SO0433,Costco,2025-10-01,Workbench,182,43498,Open
SO0434,Tesla,2025-07-19,Filing Cabinet,197,40779,Cancelled
SO0435,Dell,2025-12-01,Workbench,406,51156,Completed
SO0436,Best Buy,2026-04-11,Workbench,323,50388,Completed
SO0437,HP,2025-12-19,Metal Shelf,353,44478,Completed
SO0438,Best Buy,2026-04-29,Steel Cabinet,314,37680,Completed
SO0439,Apple,2026-01-06,Locker,91,19474,Cancelled
SO0440,Dell,2025-10-03,Steel Cabinet,500,66500,Completed
SO0441,Target,2025-09-15,Office Chair,70,14630,Open
SO0442,Costco,2026-01-15,Workbench,236,34456,Cancelled
SO0443,Tesla,2026-03-28,Filing Cabinet,238,57358,Open
SO0444,Walmart,2026-01-03,Metal Shelf,267,26700,Completed
SO0445,Best Buy,2025-08-19,Steel Cabinet,114,9918,Open
SO0446,Best Buy,2026-05-30,Computer Desk,174,37236,Cancelled
SO0447,Costco,2025-11-18,Metal Shelf,340,53720,Completed
SO0448,Apple,2026-05-14,Locker,289,33524,Completed
SO0449,Walmart,2025-10-10,Wooden Table,488,119072,Open
SO0450,Best Buy,2026-06-04,Filing Cabinet,404,57772,Cancelled
SO0451,Samsung,2026-04-15,Storage Rack,320,71040,Open
SO0452,Costco,2025-10-27,Workbench,369,88191,Open
SO0453,Walmart,2025-07-02,Tool Box,149,19668,Completed
SO0454,Target,2026-04-07,Steel Cabinet,55,7315,Completed
SO0455,Dell,2026-05-18,Office Chair,440,62480,Cancelled
SO0456,Amazon,2025-09-25,Metal Shelf,200,46600,Open
SO0457,Apple,2026-01-02,Computer Desk,324,46008,Completed
SO0458,Costco,2025-08-06,Locker,198,30492,Completed
SO0459,Apple,2025-10-24,Metal Shelf,242,23958,Completed
SO0460,Amazon,2026-06-12,Filing Cabinet,424,38584,Cancelled
SO0461,HP,2025-12-14,Tool Box,123,10701,Open
SO0462,Tesla,2026-04-14,Workbench,333,62937,Completed
SO0463,Apple,2026-03-13,Tool Box,67,8107,Open
SO0464,Samsung,2025-12-28,Locker,123,16359,Completed
SO0465,Apple,2026-01-19,Workbench,484,92928,Open
SO0466,Dell,2025-09-25,Steel Cabinet,132,31680,Open
SO0467,Apple,2025-09-23,Metal Shelf,184,27048,Cancelled
SO0468,Target,2026-06-18,Locker,301,47859,Open
SO0469,Samsung,2025-09-08,Workbench,96,19008,Cancelled
SO0470,Costco,2025-11-22,Metal Shelf,436,66272,Open
SO0471,Best Buy,2025-09-25,Steel Cabinet,433,93095,Completed
SO0472,Tesla,2025-08-16,Steel Cabinet,110,18590,Completed
SO0473,Costco,2026-02-28,Steel Cabinet,413,102011,Completed
SO0474,Amazon,2025-12-30,Office Chair,218,49922,Cancelled
SO0475,Dell,2025-10-02,Tool Box,120,25560,Cancelled
SO0476,Best Buy,2026-01-09,Locker,405,55485,Open
SO0477,Target,2025-12-11,Workbench,375,58875,Completed
SO0478,Best Buy,2026-01-18,Locker,135,21465,Cancelled
SO0479,Walmart,2026-01-29,Locker,92,20424,Open
SO0480,Tesla,2025-07-30,Workbench,308,27104,Open
SO0481,Dell,2026-04-25,Filing Cabinet,304,25536,Open
SO0482,Walmart,2025-10-20,Filing Cabinet,462,91938,Completed
SO0483,Tesla,2025-07-14,Tool Box,367,70831,Cancelled
SO0484,Apple,2025-12-03,Computer Desk,289,28322,Cancelled
SO0485,Tesla,2026-05-06,Steel Cabinet,324,53784,Open
SO0486,Amazon,2026-02-25,Filing Cabinet,158,33022,Cancelled
SO0487,Walmart,2025-09-05,Tool Box,408,88536,Open
SO0488,Walmart,2026-03-26,Steel Cabinet,72,13896,Open
SO0489,Walmart,2026-03-29,Office Chair,164,33292,Cancelled
SO0490,Best Buy,2026-01-31,Steel Cabinet,451,82533,Cancelled
SO0491,HP,2025-09-20,Storage Rack,70,15120,Cancelled
SO0492,Samsung,2025-09-30,Wooden Table,98,15386,Completed
SO0493,Apple,2026-02-12,Filing Cabinet,92,21160,Completed
SO0494,HP,2026-06-01,Storage Rack,441,72324,Cancelled
SO0495,Walmart,2026-02-12,Filing Cabinet,328,61992,Cancelled
SO0496,Best Buy,2026-05-15,Locker,404,46460,Completed
SO0497,Apple,2025-12-13,Workbench,442,75140,Cancelled
SO0498,HP,2025-08-21,Filing Cabinet,396,57816,Open
SO0499,Amazon,2025-08-19,Tool Box,176,42240,Open
SO0500,Dell,2026-02-01,Locker,439,35559,Open
