System_ID,Plant,Production_Line,Status,Efficiency,Cycle_Time,Energy_Consumption,Downtime_Minutes
Sys0365,Houston Plant,Packaging Line,Running,78.65,39.09,544.26,52
Sys0366,Chicago Plant,Packaging Line,Running,86.85,20.26,1123.15,255
Sys0367,Dallas Plant,Line C,Stopped,76.71,24.1,884.38,128
Sys0368,Austin Plant,Line D,Idle,86.06,33.13,1542.28,106
Sys0369,Houston Plant,Line C,Maintenance,86.55,18.96,1220.85,26
Sys0370,Chicago Plant,Line C,Stopped,93.94,10.27,583.99,243
Sys0371,Austin Plant,Line B,Running,76.43,29.34,1902.66,54
Sys0372,Houston Plant,Assembly Line,Running,91.54,20.75,769.46,20
Sys0373,Phoenix Plant,Line C,Maintenance,82.77,24.05,2235.32,283
Sys0374,Austin Plant,Line D,Stopped,75.02,29.14,1258.09,94
Sys0375,Phoenix Plant,Line B,Idle,87.58,24.93,1602.94,144
Sys0376,Houston Plant,Line A,Idle,95.96,16.06,1470.74,50
Sys0377,Chicago Plant,Packaging Line,Idle,89.54,12.13,2360.42,106
Sys0378,Dallas Plant,Line C,Maintenance,87.7,32.03,2168.91,39
Sys0379,Dallas Plant,Packaging Line,Idle,88.68,38.43,1616.85,285
Sys0380,Phoenix Plant,Line C,Running,79.0,15.41,1303.11,172
Sys0381,Chicago Plant,Line C,Stopped,94.83,19.7,981.45,279
Sys0382,Houston Plant,Line C,Running,98.59,27.87,1535.22,154
Sys0383,Austin Plant,Line C,Running,75.91,20.67,776.82,187
Sys0384,Houston Plant,Line A,Running,92.37,33.79,845.8,295
Sys0385,Houston Plant,Line A,Maintenance,83.35,34.51,1333.04,61
Sys0386,Phoenix Plant,Line A,Running,82.66,26.95,1153.66,113
Sys0387,Chicago Plant,Line D,Maintenance,93.87,14.44,1172.34,243
Sys0388,Houston Plant,Line A,Idle,86.54,15.94,1290.64,292
Sys0389,Phoenix Plant,Line B,Maintenance,91.43,27.28,725.06,211
Sys0390,Austin Plant,Line C,Maintenance,89.79,39.7,1384.42,74
Sys0391,Austin Plant,Packaging Line,Running,92.75,17.29,1742.0,75
Sys0392,Dallas Plant,Line C,Idle,92.76,16.36,1592.85,132
Sys0393,Austin Plant,Packaging Line,Maintenance,79.09,18.52,2078.38,138
Sys0394,Dallas Plant,Line A,Running,75.46,36.02,1798.82,118
Sys0395,Dallas Plant,Line C,Stopped,88.46,31.37,579.5,271
Sys0396,Chicago Plant,Packaging Line,Maintenance,90.01,17.09,2456.49,256
Sys0397,Houston Plant,Line D,Maintenance,96.53,29.71,675.59,195
Sys0398,Phoenix Plant,Line B,Stopped,88.01,16.2,777.15,277
Sys0399,Phoenix Plant,Line B,Maintenance,76.63,25.99,1938.88,94
Sys0400,Dallas Plant,Line C,Maintenance,78.65,15.64,763.09,13
Sys0401,Phoenix Plant,Line B,Maintenance,76.91,33.39,768.17,240
Sys0402,Chicago Plant,Line D,Running,84.81,39.06,2350.87,211
Sys0403,Austin Plant,Line B,Maintenance,95.8,36.63,1355.11,21
Sys0404,Chicago Plant,Assembly Line,Stopped,85.97,36.33,2255.56,125
Sys0405,Phoenix Plant,Line D,Stopped,84.55,19.14,2155.24,236
Sys0406,Phoenix Plant,Line A,Running,92.34,13.4,2057.46,279
Sys0407,Houston Plant,Line D,Stopped,77.16,19.72,1797.15,83
Sys0408,Chicago Plant,Packaging Line,Idle,84.09,21.42,2036.52,171
Sys0409,Austin Plant,Packaging Line,Stopped,81.93,15.42,2297.08,103
Sys0410,Dallas Plant,Line D,Stopped,80.71,27.67,1451.42,209
Sys0411,Phoenix Plant,Line A,Running,79.44,11.65,1198.04,74
Sys0412,Phoenix Plant,Line C,Stopped,98.85,14.84,1068.76,293
Sys0413,Phoenix Plant,Line C,Maintenance,96.54,34.61,2016.88,281
Sys0414,Austin Plant,Line A,Idle,91.7,28.36,718.6,270
Sys0415,Phoenix Plant,Packaging Line,Maintenance,87.61,39.85,1207.71,66
Sys0416,Chicago Plant,Line D,Idle,75.04,10.72,1750.92,60
Sys0417,Chicago Plant,Line A,Running,90.37,30.7,1008.84,34
Sys0418,Phoenix Plant,Line C,Maintenance,84.51,27.07,2420.23,89
Sys0419,Chicago Plant,Line D,Stopped,96.41,26.11,1170.22,211
Sys0420,Phoenix Plant,Packaging Line,Idle,88.86,19.95,2332.37,181
Sys0421,Dallas Plant,Line C,Idle,89.28,35.94,2003.08,161
Sys0422,Dallas Plant,Line D,Idle,87.6,15.25,1248.43,19
Sys0423,Phoenix Plant,Line A,Stopped,92.58,25.71,2051.07,73
Sys0424,Austin Plant,Line B,Running,75.1,37.97,1874.1,44
Sys0425,Dallas Plant,Assembly Line,Idle,82.7,15.78,1053.3,163
Sys0426,Houston Plant,Line B,Running,79.96,20.51,1136.97,72
Sys0427,Austin Plant,Line A,Running,78.12,24.12,1850.99,54
Sys0428,Chicago Plant,Line D,Maintenance,82.98,15.94,2016.81,273
Sys0429,Austin Plant,Line A,Maintenance,91.43,31.31,1430.79,118
Sys0430,Houston Plant,Line C,Maintenance,85.88,10.91,1450.67,179
Sys0431,Houston Plant,Line C,Stopped,94.62,33.9,1151.74,36
Sys0432,Chicago Plant,Assembly Line,Idle,98.37,21.51,1181.43,220
Sys0433,Phoenix Plant,Packaging Line,Stopped,77.74,27.88,1150.76,49
Sys0434,Chicago Plant,Line A,Maintenance,86.86,29.8,681.07,71
Sys0435,Austin Plant,Line D,Idle,79.94,36.32,1099.47,155
Sys0436,Dallas Plant,Assembly Line,Running,83.86,26.47,606.25,286
Sys0437,Dallas Plant,Line B,Stopped,84.74,23.06,922.43,88
Sys0438,Phoenix Plant,Line D,Idle,78.22,12.15,531.42,249
Sys0439,Austin Plant,Packaging Line,Idle,85.91,22.72,2140.14,196
Sys0440,Chicago Plant,Assembly Line,Maintenance,84.86,26.38,1233.94,19
Sys0441,Dallas Plant,Assembly Line,Stopped,87.41,25.7,1720.14,125
Sys0442,Dallas Plant,Packaging Line,Maintenance,87.84,10.32,1408.07,240
Sys0443,Houston Plant,Line C,Maintenance,76.47,24.19,838.16,26
Sys0444,Dallas Plant,Line C,Maintenance,81.05,28.47,1050.43,131
Sys0445,Phoenix Plant,Line B,Maintenance,94.39,17.84,1901.55,248
Sys0446,Houston Plant,Line A,Stopped,80.71,23.21,1775.15,107
Sys0447,Houston Plant,Line A,Stopped,82.23,32.38,2004.86,272
Sys0448,Chicago Plant,Line D,Running,81.93,33.92,1264.01,161
Sys0449,Houston Plant,Line D,Maintenance,94.26,17.66,1668.35,236
Sys0450,Phoenix Plant,Line B,Maintenance,88.14,30.18,2163.38,6
Sys0451,Dallas Plant,Packaging Line,Maintenance,79.63,10.71,683.88,111
Sys0452,Dallas Plant,Assembly Line,Running,91.7,17.6,1433.91,38
Sys0453,Houston Plant,Line C,Stopped,84.33,39.88,1016.48,135
Sys0454,Chicago Plant,Line B,Running,78.45,33.06,936.77,54
Sys0455,Dallas Plant,Line A,Stopped,75.45,24.93,1805.73,0
Sys0456,Houston Plant,Line B,Stopped,86.48,22.12,1955.53,35
Sys0457,Chicago Plant,Line A,Stopped,76.32,39.91,1794.15,187
Sys0458,Houston Plant,Packaging Line,Stopped,90.86,18.97,1280.21,54
Sys0459,Chicago Plant,Packaging Line,Running,92.27,27.79,1478.47,32
Sys0460,Chicago Plant,Line A,Running,84.73,16.35,1807.7,267
Sys0461,Austin Plant,Packaging Line,Idle,86.73,10.57,2314.36,23
Sys0462,Austin Plant,Line A,Stopped,89.67,35.06,627.92,54
Sys0463,Phoenix Plant,Line B,Stopped,82.78,39.28,1651.93,70
Sys0464,Phoenix Plant,Line B,Idle,93.18,15.04,1239.85,84
Sys0465,Dallas Plant,Line B,Stopped,76.94,10.22,2352.27,145
Sys0466,Austin Plant,Line B,Stopped,80.74,15.24,1883.35,92
Sys0467,Houston Plant,Line C,Idle,77.82,25.91,691.37,185
Sys0468,Austin Plant,Line C,Stopped,86.94,14.79,2345.35,27
Sys0469,Chicago Plant,Line C,Running,97.2,15.28,2070.98,248
Sys0470,Chicago Plant,Assembly Line,Maintenance,80.52,13.3,955.56,121
Sys0471,Austin Plant,Line A,Idle,80.19,28.28,856.12,191
Sys0472,Austin Plant,Packaging Line,Idle,75.77,27.06,1061.21,56
Sys0473,Austin Plant,Line C,Idle,88.87,26.58,959.4,210
Sys0474,Chicago Plant,Line D,Idle,80.95,23.03,944.81,76
Sys0475,Dallas Plant,Line D,Stopped,94.43,30.9,696.0,253
Sys0476,Dallas Plant,Packaging Line,Maintenance,82.1,29.43,681.46,245
Sys0477,Chicago Plant,Assembly Line,Idle,95.98,22.16,2079.72,189
Sys0478,Dallas Plant,Packaging Line,Running,82.12,32.59,1896.11,277
Sys0479,Phoenix Plant,Line C,Running,77.66,20.97,1738.27,187
Sys0480,Phoenix Plant,Packaging Line,Idle,87.95,29.47,1974.76,297
Sys0481,Houston Plant,Line C,Running,83.95,23.57,1502.9,62
Sys0482,Phoenix Plant,Line C,Idle,96.41,23.74,660.34,91
Sys0483,Austin Plant,Line C,Idle,87.5,28.82,1086.34,277
Sys0484,Chicago Plant,Line D,Running,75.53,34.06,2169.9,266
Sys0485,Houston Plant,Packaging Line,Stopped,82.3,13.96,2078.7,87
Sys0486,Houston Plant,Line C,Stopped,97.95,28.56,821.58,274
Sys0487,Austin Plant,Line B,Idle,85.58,21.09,910.31,17
Sys0488,Houston Plant,Line D,Running,97.09,22.14,1498.83,74
Sys0489,Dallas Plant,Packaging Line,Stopped,96.5,39.09,2008.32,293
Sys0490,Chicago Plant,Line C,Running,78.35,26.53,1116.16,205
Sys0491,Dallas Plant,Line C,Maintenance,79.7,12.51,2198.9,44
Sys0492,Houston Plant,Assembly Line,Stopped,78.55,35.61,1239.26,190
Sys0493,Houston Plant,Line C,Stopped,94.29,18.66,2111.35,217
Sys0494,Phoenix Plant,Line A,Maintenance,76.59,38.8,2012.23,45
Sys0495,Houston Plant,Line D,Idle,79.46,21.45,1607.73,21
Sys0496,Chicago Plant,Assembly Line,Running,78.7,19.01,1781.11,241
Sys0497,Houston Plant,Line D,Running,77.86,18.32,2488.67,34
Sys0498,Phoenix Plant,Line D,Maintenance,87.3,27.26,2190.56,83
Sys0499,Chicago Plant,Packaging Line,Maintenance,83.67,29.09,2410.31,24
Sys0500,Dallas Plant,Assembly Line,Maintenance,95.94,34.8,1869.93,154
