System_ID,System_Name,Plant,Production_Line,Automation_Type,PLC,SCADA,DCS,Robot_Model,Status,Efficiency,Cycle_Time,Energy_Consumption,Downtime_Minutes,Alarm_Count,Operator_ID,Maintenance_Status,Project_ID,Compliance_Status,Created_Date
Sys0127,Current Automation,Austin Plant,Line A,Fully Automated,Plc127,Wonderware,Abb 800Xa,Abb Irb2600,Running,80.66,29.35,1224.3,290,1,Op127,In Progress,Prj127,Passed,2025-12-03
Sys0128,Hope Automation,Chicago Plant,Line C,Semi Automated,Plc128,Wonderware,Abb 800Xa,Abb Irb2600,Maintenance,84.55,29.49,999.22,58,0,Op128,In Progress,Prj128,Passed,2024-07-19
Sys0129,College Automation,Chicago Plant,Assembly Line,Semi Automated,Plc129,Wincc,Honeywell Experion,Kuka Kr10,Stopped,80.15,28.36,1887.96,251,6,Op129,Completed,Prj129,Passed,2026-01-17
Sys0130,Stop Automation,Dallas Plant,Line D,Fully Automated,Plc130,Wonderware,Abb 800Xa,Kuka Kr10,Maintenance,92.03,26.5,1080.72,153,5,Op130,In Progress,Prj130,Failed,2025-06-09
Sys0131,Become Automation,Austin Plant,Line C,Robotic Cell,Plc131,Ignition,Abb 800Xa,Abb Irb2600,Idle,80.68,24.82,1221.79,293,11,Op131,Scheduled,Prj131,Failed,2025-12-07
Sys0132,Make Automation,Austin Plant,Assembly Line,Fully Automated,Plc132,Wincc,Honeywell Experion,Yaskawa Gp25,Stopped,87.62,33.07,2146.68,37,4,Op132,Scheduled,Prj132,Failed,2025-06-12
Sys0133,Century Automation,Dallas Plant,Line D,Semi Automated,Plc133,Factorytalk,Abb 800Xa,Abb Irb2600,Idle,85.38,37.32,610.83,63,4,Op133,Scheduled,Prj133,Passed,2025-04-19
Sys0134,Weight Automation,Austin Plant,Line C,Robotic Cell,Plc134,Ignition,Honeywell Experion,Kuka Kr10,Running,81.01,29.05,1601.68,64,9,Op134,In Progress,Prj134,Failed,2026-02-06
Sys0135,Professor Automation,Dallas Plant,Assembly Line,Robotic Cell,Plc135,Ignition,Emerson Deltav,Abb Irb2600,Idle,90.81,31.62,1710.28,288,1,Op135,Completed,Prj135,Passed,2024-11-21
Sys0136,Than Automation,Dallas Plant,Packaging Line,Robotic Cell,Plc136,Factorytalk,Emerson Deltav,Abb Irb2600,Stopped,89.83,10.91,2277.99,279,9,Op136,In Progress,Prj136,Pending,2026-06-29
Sys0137,Game Automation,Chicago Plant,Line B,Robotic Cell,Plc137,Wonderware,Honeywell Experion,Yaskawa Gp25,Running,91.53,14.74,1331.24,237,6,Op137,Scheduled,Prj137,Failed,2025-12-04
Sys0138,Billion Automation,Austin Plant,Line C,Robotic Cell,Plc138,Factorytalk,Emerson Deltav,Kuka Kr10,Stopped,78.14,21.12,1623.3,163,7,Op138,Scheduled,Prj138,Passed,2025-10-22
Sys0139,Yeah Automation,Houston Plant,Line D,Fully Automated,Plc139,Ignition,Abb 800Xa,Fanuc M-20Id,Maintenance,97.69,35.92,1336.27,81,10,Op139,In Progress,Prj139,Failed,2025-05-13
Sys0140,Word Automation,Houston Plant,Line B,Fully Automated,Plc140,Wonderware,Emerson Deltav,Yaskawa Gp25,Stopped,96.1,24.92,680.1,201,14,Op140,Completed,Prj140,Passed,2026-04-29
Sys0141,Mission Automation,Phoenix Plant,Line C,Fully Automated,Plc141,Wincc,Honeywell Experion,Yaskawa Gp25,Stopped,81.86,10.25,714.99,68,8,Op141,In Progress,Prj141,Pending,2024-08-22
Sys0142,Somebody Automation,Chicago Plant,Line C,Fully Automated,Plc142,Wonderware,Abb 800Xa,Abb Irb2600,Maintenance,88.28,12.21,1508.51,281,8,Op142,In Progress,Prj142,Failed,2025-07-21
Sys0143,Do Automation,Phoenix Plant,Line A,Fully Automated,Plc143,Wincc,Honeywell Experion,Kuka Kr10,Maintenance,88.39,20.97,788.53,260,12,Op143,In Progress,Prj143,Passed,2025-04-30
Sys0144,Turn Automation,Dallas Plant,Line A,Fully Automated,Plc144,Factorytalk,Honeywell Experion,Yaskawa Gp25,Idle,89.55,25.47,1155.93,163,5,Op144,Scheduled,Prj144,Failed,2024-11-20
Sys0145,Rich Automation,Houston Plant,Assembly Line,Semi Automated,Plc145,Wonderware,Emerson Deltav,Kuka Kr10,Stopped,94.58,21.05,1847.61,213,9,Op145,In Progress,Prj145,Failed,2025-07-24
Sys0146,Inside Automation,Dallas Plant,Assembly Line,Semi Automated,Plc146,Factorytalk,Emerson Deltav,Abb Irb2600,Running,89.0,15.12,1758.05,194,4,Op146,In Progress,Prj146,Passed,2025-11-01
Sys0147,Situation Automation,Dallas Plant,Assembly Line,Robotic Cell,Plc147,Wincc,Abb 800Xa,Fanuc M-20Id,Stopped,82.53,14.54,1881.0,210,15,Op147,In Progress,Prj147,Failed,2025-05-04
Sys0148,However Automation,Dallas Plant,Packaging Line,Fully Automated,Plc148,Ignition,Emerson Deltav,Kuka Kr10,Stopped,87.61,19.41,846.36,272,10,Op148,In Progress,Prj148,Pending,2025-10-29
Sys0149,Little Automation,Houston Plant,Assembly Line,Semi Automated,Plc149,Ignition,Abb 800Xa,Kuka Kr10,Maintenance,80.4,39.19,1095.23,147,6,Op149,In Progress,Prj149,Failed,2026-06-25
Sys0150,Wrong Automation,Chicago Plant,Line C,Semi Automated,Plc150,Factorytalk,Emerson Deltav,Kuka Kr10,Maintenance,77.92,30.3,1259.39,202,11,Op150,Completed,Prj150,Pending,2024-11-05
Sys0151,Become Automation,Dallas Plant,Line C,Robotic Cell,Plc151,Wincc,Honeywell Experion,Yaskawa Gp25,Maintenance,92.94,16.42,2155.9,138,8,Op151,Completed,Prj151,Passed,2026-01-26
Sys0152,Often Automation,Phoenix Plant,Packaging Line,Robotic Cell,Plc152,Ignition,Abb 800Xa,Fanuc M-20Id,Idle,90.31,11.57,1326.6,241,3,Op152,In Progress,Prj152,Passed,2026-05-13
Sys0153,Clearly Automation,Dallas Plant,Assembly Line,Fully Automated,Plc153,Wonderware,Emerson Deltav,Yaskawa Gp25,Stopped,90.61,32.68,1074.49,146,1,Op153,Completed,Prj153,Failed,2025-01-21
Sys0154,Address Automation,Phoenix Plant,Line B,Robotic Cell,Plc154,Wincc,Abb 800Xa,Yaskawa Gp25,Idle,97.41,11.09,2172.41,253,5,Op154,In Progress,Prj154,Pending,2025-12-01
Sys0155,Win Automation,Dallas Plant,Line A,Semi Automated,Plc155,Wincc,Honeywell Experion,Kuka Kr10,Stopped,98.74,26.3,1487.82,68,14,Op155,Scheduled,Prj155,Passed,2026-04-10
Sys0156,Though Automation,Dallas Plant,Line C,Fully Automated,Plc156,Wonderware,Emerson Deltav,Kuka Kr10,Idle,75.34,20.11,1090.05,98,5,Op156,In Progress,Prj156,Failed,2025-10-28
Sys0157,Leg Automation,Chicago Plant,Line D,Robotic Cell,Plc157,Factorytalk,Abb 800Xa,Yaskawa Gp25,Running,79.43,14.22,1147.2,127,0,Op157,Scheduled,Prj157,Pending,2024-08-15
Sys0158,Entire Automation,Austin Plant,Line D,Semi Automated,Plc158,Factorytalk,Honeywell Experion,Fanuc M-20Id,Maintenance,90.69,30.78,624.25,60,14,Op158,Scheduled,Prj158,Passed,2025-07-11
Sys0159,Current Automation,Chicago Plant,Packaging Line,Robotic Cell,Plc159,Factorytalk,Emerson Deltav,Fanuc M-20Id,Maintenance,83.82,16.63,2414.72,244,4,Op159,Scheduled,Prj159,Failed,2025-11-21
Sys0160,Beautiful Automation,Phoenix Plant,Line C,Semi Automated,Plc160,Wonderware,Emerson Deltav,Abb Irb2600,Idle,91.33,27.87,2074.74,269,14,Op160,In Progress,Prj160,Failed,2026-04-07
Sys0161,Will Automation,Houston Plant,Line A,Robotic Cell,Plc161,Wincc,Abb 800Xa,Abb Irb2600,Idle,78.95,35.63,1383.68,105,15,Op161,Completed,Prj161,Failed,2025-01-12
Sys0162,Argue Automation,Chicago Plant,Line A,Semi Automated,Plc162,Ignition,Emerson Deltav,Yaskawa Gp25,Stopped,88.53,26.76,1845.54,157,0,Op162,Scheduled,Prj162,Pending,2026-02-04
Sys0163,Project Automation,Dallas Plant,Packaging Line,Fully Automated,Plc163,Wincc,Abb 800Xa,Yaskawa Gp25,Maintenance,91.81,26.23,620.51,35,15,Op163,Completed,Prj163,Pending,2025-11-18
Sys0164,Town Automation,Chicago Plant,Line B,Fully Automated,Plc164,Wonderware,Honeywell Experion,Yaskawa Gp25,Stopped,95.87,37.2,1251.29,276,4,Op164,In Progress,Prj164,Pending,2026-04-17
Sys0165,Easy Automation,Dallas Plant,Line B,Robotic Cell,Plc165,Wonderware,Emerson Deltav,Abb Irb2600,Idle,95.04,32.69,2456.98,237,13,Op165,In Progress,Prj165,Pending,2025-09-17
Sys0166,Response Automation,Austin Plant,Line B,Semi Automated,Plc166,Factorytalk,Abb 800Xa,Kuka Kr10,Idle,97.5,31.75,725.69,214,0,Op166,Completed,Prj166,Passed,2024-08-13
Sys0167,Science Automation,Dallas Plant,Line A,Robotic Cell,Plc167,Wincc,Honeywell Experion,Fanuc M-20Id,Idle,92.77,22.07,968.68,111,1,Op167,Completed,Prj167,Failed,2026-07-04
Sys0168,Lose Automation,Houston Plant,Line B,Robotic Cell,Plc168,Factorytalk,Emerson Deltav,Kuka Kr10,Idle,82.24,14.3,1820.42,113,13,Op168,Scheduled,Prj168,Pending,2025-07-30
Sys0169,Look Automation,Dallas Plant,Assembly Line,Robotic Cell,Plc169,Ignition,Emerson Deltav,Yaskawa Gp25,Stopped,76.13,20.33,1786.63,195,10,Op169,In Progress,Prj169,Pending,2024-10-23
Sys0170,Full Automation,Chicago Plant,Line B,Semi Automated,Plc170,Wonderware,Abb 800Xa,Yaskawa Gp25,Idle,95.38,19.02,1915.15,237,1,Op170,In Progress,Prj170,Pending,2025-03-24
Sys0171,Among Automation,Chicago Plant,Assembly Line,Robotic Cell,Plc171,Ignition,Honeywell Experion,Abb Irb2600,Maintenance,79.88,29.4,2344.45,189,2,Op171,In Progress,Prj171,Failed,2024-09-18
Sys0172,Game Automation,Austin Plant,Line A,Semi Automated,Plc172,Wonderware,Emerson Deltav,Fanuc M-20Id,Running,79.52,32.85,1948.61,286,6,Op172,Scheduled,Prj172,Passed,2026-01-26
Sys0173,Your Automation,Houston Plant,Line C,Fully Automated,Plc173,Ignition,Abb 800Xa,Fanuc M-20Id,Stopped,96.95,30.87,1907.54,203,7,Op173,In Progress,Prj173,Pending,2025-12-30
Sys0174,It Automation,Houston Plant,Line D,Semi Automated,Plc174,Factorytalk,Honeywell Experion,Kuka Kr10,Maintenance,87.31,24.92,697.22,240,10,Op174,Completed,Prj174,Pending,2025-02-06
Sys0175,My Automation,Houston Plant,Line D,Fully Automated,Plc175,Ignition,Emerson Deltav,Abb Irb2600,Running,81.26,38.04,1658.29,213,9,Op175,Completed,Prj175,Passed,2025-07-29
Sys0176,Idea Automation,Houston Plant,Line B,Semi Automated,Plc176,Ignition,Honeywell Experion,Kuka Kr10,Maintenance,93.32,24.66,1947.12,251,14,Op176,Completed,Prj176,Failed,2026-05-07
Sys0177,Price Automation,Houston Plant,Line B,Fully Automated,Plc177,Wonderware,Abb 800Xa,Fanuc M-20Id,Running,95.14,12.23,2135.99,24,0,Op177,Scheduled,Prj177,Passed,2024-09-15
Sys0178,Take Automation,Austin Plant,Line A,Robotic Cell,Plc178,Ignition,Abb 800Xa,Abb Irb2600,Stopped,83.96,28.54,1833.51,247,15,Op178,Completed,Prj178,Passed,2025-03-06
Sys0179,Develop Automation,Phoenix Plant,Assembly Line,Semi Automated,Plc179,Wincc,Abb 800Xa,Kuka Kr10,Maintenance,75.41,34.39,1848.07,91,3,Op179,Completed,Prj179,Failed,2025-04-01
Sys0180,Raise Automation,Austin Plant,Line B,Fully Automated,Plc180,Factorytalk,Honeywell Experion,Kuka Kr10,Stopped,76.9,38.78,1418.0,124,7,Op180,Scheduled,Prj180,Failed,2026-01-25
Sys0181,Her Automation,Dallas Plant,Packaging Line,Robotic Cell,Plc181,Wincc,Abb 800Xa,Yaskawa Gp25,Stopped,84.05,24.28,1773.5,87,2,Op181,Scheduled,Prj181,Pending,2025-12-15
Sys0182,Commercial Automation,Houston Plant,Assembly Line,Fully Automated,Plc182,Wincc,Abb 800Xa,Abb Irb2600,Stopped,81.51,37.72,1868.86,143,1,Op182,Completed,Prj182,Pending,2026-04-19
Sys0183,Loss Automation,Dallas Plant,Line B,Robotic Cell,Plc183,Ignition,Emerson Deltav,Yaskawa Gp25,Running,82.18,26.92,1633.39,199,10,Op183,Scheduled,Prj183,Failed,2025-06-20
Sys0184,Such Automation,Austin Plant,Packaging Line,Robotic Cell,Plc184,Wincc,Emerson Deltav,Kuka Kr10,Running,77.34,16.96,652.04,203,10,Op184,Completed,Prj184,Failed,2025-02-22
Sys0185,Anything Automation,Houston Plant,Line D,Semi Automated,Plc185,Ignition,Honeywell Experion,Yaskawa Gp25,Stopped,79.46,27.58,1260.15,151,7,Op185,In Progress,Prj185,Passed,2025-05-07
Sys0186,Job Automation,Dallas Plant,Line C,Fully Automated,Plc186,Wonderware,Emerson Deltav,Abb Irb2600,Stopped,82.6,13.2,510.39,157,14,Op186,Scheduled,Prj186,Pending,2026-02-04
Sys0187,Any Automation,Dallas Plant,Line B,Fully Automated,Plc187,Ignition,Honeywell Experion,Yaskawa Gp25,Stopped,77.48,12.69,1608.44,166,12,Op187,Completed,Prj187,Pending,2025-07-06
Sys0188,Serious Automation,Chicago Plant,Line D,Fully Automated,Plc188,Ignition,Emerson Deltav,Abb Irb2600,Stopped,79.07,18.07,1036.81,74,2,Op188,Completed,Prj188,Pending,2026-03-24
Sys0189,Down Automation,Houston Plant,Line D,Semi Automated,Plc189,Wonderware,Abb 800Xa,Kuka Kr10,Maintenance,97.66,31.63,1491.6,100,14,Op189,Completed,Prj189,Passed,2024-07-31
Sys0190,Others Automation,Houston Plant,Line A,Semi Automated,Plc190,Factorytalk,Emerson Deltav,Yaskawa Gp25,Maintenance,85.57,22.92,2147.07,69,9,Op190,Scheduled,Prj190,Failed,2025-01-01
Sys0191,Brother Automation,Austin Plant,Line D,Semi Automated,Plc191,Ignition,Honeywell Experion,Kuka Kr10,Maintenance,92.64,28.99,2435.53,124,10,Op191,Scheduled,Prj191,Pending,2026-01-21
Sys0192,Space Automation,Chicago Plant,Line C,Fully Automated,Plc192,Ignition,Emerson Deltav,Abb Irb2600,Running,97.87,23.85,1916.73,224,9,Op192,In Progress,Prj192,Passed,2024-10-03
Sys0193,Avoid Automation,Chicago Plant,Packaging Line,Semi Automated,Plc193,Ignition,Emerson Deltav,Kuka Kr10,Idle,81.06,14.62,1346.26,193,2,Op193,Scheduled,Prj193,Failed,2025-03-10
Sys0194,Two Automation,Chicago Plant,Assembly Line,Semi Automated,Plc194,Wonderware,Emerson Deltav,Fanuc M-20Id,Maintenance,91.84,34.37,1687.64,43,3,Op194,Completed,Prj194,Failed,2025-01-07
Sys0195,Win Automation,Houston Plant,Line B,Robotic Cell,Plc195,Wincc,Emerson Deltav,Yaskawa Gp25,Maintenance,98.18,22.91,521.1,132,7,Op195,In Progress,Prj195,Failed,2025-12-16
Sys0196,Few Automation,Phoenix Plant,Assembly Line,Robotic Cell,Plc196,Ignition,Honeywell Experion,Kuka Kr10,Stopped,86.11,30.39,1880.87,77,11,Op196,Completed,Prj196,Pending,2026-01-08
Sys0197,Network Automation,Dallas Plant,Line C,Semi Automated,Plc197,Wincc,Abb 800Xa,Abb Irb2600,Maintenance,82.49,23.66,913.73,247,11,Op197,Scheduled,Prj197,Passed,2025-02-24
Sys0198,Cut Automation,Chicago Plant,Packaging Line,Robotic Cell,Plc198,Wonderware,Honeywell Experion,Fanuc M-20Id,Maintenance,76.07,31.32,545.17,175,3,Op198,In Progress,Prj198,Passed,2025-05-18
Sys0199,Because Automation,Austin Plant,Assembly Line,Fully Automated,Plc199,Ignition,Honeywell Experion,Yaskawa Gp25,Stopped,80.56,22.15,868.9,221,12,Op199,Completed,Prj199,Failed,2025-03-04
Sys0200,Learn Automation,Phoenix Plant,Line B,Semi Automated,Plc200,Wonderware,Honeywell Experion,Fanuc M-20Id,Idle,79.94,32.57,2117.46,32,3,Op200,In Progress,Prj200,Passed,2024-10-12
Sys0201,Grow Automation,Houston Plant,Line C,Fully Automated,Plc201,Wonderware,Abb 800Xa,Kuka Kr10,Stopped,87.67,29.17,1693.94,200,3,Op201,Scheduled,Prj201,Pending,2025-05-05
Sys0202,Cost Automation,Chicago Plant,Assembly Line,Fully Automated,Plc202,Factorytalk,Emerson Deltav,Fanuc M-20Id,Idle,82.52,17.16,733.9,191,4,Op202,In Progress,Prj202,Pending,2025-06-16
Sys0203,Weight Automation,Chicago Plant,Assembly Line,Fully Automated,Plc203,Wonderware,Honeywell Experion,Abb Irb2600,Stopped,90.25,30.8,1790.52,88,5,Op203,Scheduled,Prj203,Pending,2024-08-02
Sys0204,Left Automation,Austin Plant,Line B,Semi Automated,Plc204,Wonderware,Emerson Deltav,Fanuc M-20Id,Maintenance,97.84,24.54,890.26,196,15,Op204,Scheduled,Prj204,Failed,2025-01-31
Sys0205,Including Automation,Chicago Plant,Line D,Robotic Cell,Plc205,Wonderware,Honeywell Experion,Abb Irb2600,Running,88.57,33.88,941.06,16,8,Op205,Completed,Prj205,Failed,2025-10-31
Sys0206,And Automation,Houston Plant,Line B,Semi Automated,Plc206,Wonderware,Emerson Deltav,Fanuc M-20Id,Running,81.43,26.29,2481.79,277,1,Op206,In Progress,Prj206,Pending,2026-03-12
Sys0207,Else Automation,Phoenix Plant,Line B,Semi Automated,Plc207,Wincc,Emerson Deltav,Abb Irb2600,Maintenance,96.0,10.97,1025.63,44,14,Op207,Completed,Prj207,Passed,2025-11-09
Sys0208,Or Automation,Austin Plant,Packaging Line,Robotic Cell,Plc208,Factorytalk,Emerson Deltav,Yaskawa Gp25,Idle,89.79,33.55,2127.06,30,11,Op208,In Progress,Prj208,Pending,2026-01-13
Sys0209,Stuff Automation,Phoenix Plant,Assembly Line,Fully Automated,Plc209,Factorytalk,Emerson Deltav,Kuka Kr10,Maintenance,88.75,38.57,1528.83,48,4,Op209,Scheduled,Prj209,Passed,2025-07-31
Sys0210,Fund Automation,Houston Plant,Packaging Line,Fully Automated,Plc210,Ignition,Abb 800Xa,Abb Irb2600,Maintenance,94.88,32.84,1852.47,250,4,Op210,In Progress,Prj210,Failed,2024-12-10
Sys0211,Happy Automation,Houston Plant,Packaging Line,Semi Automated,Plc211,Wonderware,Honeywell Experion,Fanuc M-20Id,Running,84.67,32.49,1889.41,188,14,Op211,Scheduled,Prj211,Pending,2026-04-13
Sys0212,Protect Automation,Phoenix Plant,Line A,Robotic Cell,Plc212,Wincc,Emerson Deltav,Yaskawa Gp25,Maintenance,95.4,33.87,1295.43,219,6,Op212,Scheduled,Prj212,Pending,2024-09-20
Sys0213,Word Automation,Houston Plant,Line C,Semi Automated,Plc213,Ignition,Emerson Deltav,Yaskawa Gp25,Maintenance,96.46,32.87,591.89,235,0,Op213,Completed,Prj213,Passed,2025-02-05
Sys0214,Protect Automation,Chicago Plant,Line D,Fully Automated,Plc214,Wonderware,Abb 800Xa,Abb Irb2600,Maintenance,78.82,37.98,1048.04,184,8,Op214,Completed,Prj214,Pending,2026-01-05
Sys0215,Base Automation,Austin Plant,Line A,Semi Automated,Plc215,Factorytalk,Emerson Deltav,Abb Irb2600,Stopped,90.73,31.11,502.17,244,2,Op215,Completed,Prj215,Failed,2025-05-05
Sys0216,Most Automation,Austin Plant,Assembly Line,Robotic Cell,Plc216,Wonderware,Abb 800Xa,Fanuc M-20Id,Maintenance,94.61,39.64,1344.63,67,15,Op216,Completed,Prj216,Passed,2024-10-28
Sys0217,Letter Automation,Chicago Plant,Line A,Robotic Cell,Plc217,Wincc,Abb 800Xa,Kuka Kr10,Maintenance,96.14,14.11,2046.92,68,4,Op217,Completed,Prj217,Failed,2025-04-15
Sys0218,Still Automation,Phoenix Plant,Line A,Robotic Cell,Plc218,Ignition,Honeywell Experion,Kuka Kr10,Idle,90.07,14.54,1323.42,226,6,Op218,Completed,Prj218,Passed,2025-12-12
Sys0219,Recently Automation,Austin Plant,Line A,Robotic Cell,Plc219,Wonderware,Honeywell Experion,Yaskawa Gp25,Maintenance,93.99,17.43,1789.24,127,9,Op219,In Progress,Prj219,Passed,2025-07-29
Sys0220,Reduce Automation,Houston Plant,Line B,Robotic Cell,Plc220,Ignition,Emerson Deltav,Yaskawa Gp25,Maintenance,90.51,33.51,2087.56,122,15,Op220,Scheduled,Prj220,Passed,2025-06-20
Sys0221,Sport Automation,Austin Plant,Line D,Robotic Cell,Plc221,Wincc,Emerson Deltav,Fanuc M-20Id,Maintenance,97.41,13.96,2221.63,291,13,Op221,Scheduled,Prj221,Failed,2025-01-13
Sys0222,Office Automation,Austin Plant,Line D,Fully Automated,Plc222,Wincc,Emerson Deltav,Fanuc M-20Id,Running,81.29,11.19,620.94,203,9,Op222,In Progress,Prj222,Failed,2025-12-03
Sys0223,Charge Automation,Phoenix Plant,Line D,Semi Automated,Plc223,Wonderware,Abb 800Xa,Abb Irb2600,Maintenance,77.01,12.37,2341.85,79,10,Op223,Scheduled,Prj223,Failed,2025-04-03
Sys0224,Both Automation,Dallas Plant,Line C,Robotic Cell,Plc224,Wonderware,Emerson Deltav,Abb Irb2600,Running,80.87,37.74,731.97,28,9,Op224,In Progress,Prj224,Failed,2025-02-18
Sys0225,Care Automation,Austin Plant,Line A,Fully Automated,Plc225,Ignition,Emerson Deltav,Fanuc M-20Id,Idle,86.91,20.4,1534.45,132,5,Op225,Scheduled,Prj225,Passed,2026-06-21
Sys0226,Wait Automation,Houston Plant,Packaging Line,Fully Automated,Plc226,Wincc,Honeywell Experion,Yaskawa Gp25,Maintenance,87.57,17.89,2450.1,39,15,Op226,Scheduled,Prj226,Failed,2025-03-26
Sys0227,Watch Automation,Houston Plant,Line A,Semi Automated,Plc227,Ignition,Honeywell Experion,Abb Irb2600,Maintenance,93.56,36.83,1848.24,59,7,Op227,In Progress,Prj227,Failed,2025-12-06
Sys0228,Identify Automation,Dallas Plant,Line A,Fully Automated,Plc228,Ignition,Abb 800Xa,Yaskawa Gp25,Maintenance,84.19,14.5,2362.32,18,13,Op228,Completed,Prj228,Pending,2026-01-27
Sys0229,Six Automation,Austin Plant,Line D,Robotic Cell,Plc229,Factorytalk,Honeywell Experion,Fanuc M-20Id,Maintenance,77.87,30.2,605.34,114,1,Op229,Scheduled,Prj229,Passed,2024-08-02
Sys0230,Letter Automation,Chicago Plant,Line C,Semi Automated,Plc230,Factorytalk,Abb 800Xa,Yaskawa Gp25,Running,83.85,18.75,2069.01,124,14,Op230,Scheduled,Prj230,Failed,2026-05-07
Sys0231,Century Automation,Chicago Plant,Line B,Robotic Cell,Plc231,Ignition,Abb 800Xa,Fanuc M-20Id,Stopped,75.57,26.25,1771.88,4,10,Op231,Completed,Prj231,Failed,2026-03-27
Sys0232,One Automation,Chicago Plant,Packaging Line,Robotic Cell,Plc232,Factorytalk,Abb 800Xa,Abb Irb2600,Idle,85.08,38.84,2445.12,72,8,Op232,Completed,Prj232,Passed,2024-09-25
Sys0233,Fine Automation,Austin Plant,Assembly Line,Semi Automated,Plc233,Factorytalk,Honeywell Experion,Fanuc M-20Id,Running,87.13,29.12,1288.7,290,1,Op233,Scheduled,Prj233,Failed,2026-04-21
Sys0234,Successful Automation,Austin Plant,Line B,Semi Automated,Plc234,Factorytalk,Honeywell Experion,Yaskawa Gp25,Maintenance,82.63,18.16,649.37,103,4,Op234,In Progress,Prj234,Passed,2025-11-01
Sys0235,Discussion Automation,Austin Plant,Line A,Fully Automated,Plc235,Wonderware,Honeywell Experion,Kuka Kr10,Stopped,77.9,20.75,2040.67,231,9,Op235,Scheduled,Prj235,Pending,2024-09-17
Sys0236,Program Automation,Dallas Plant,Line A,Fully Automated,Plc236,Factorytalk,Emerson Deltav,Fanuc M-20Id,Idle,95.06,19.83,682.43,127,11,Op236,Scheduled,Prj236,Failed,2026-04-18
Sys0237,Parent Automation,Dallas Plant,Packaging Line,Semi Automated,Plc237,Factorytalk,Abb 800Xa,Fanuc M-20Id,Stopped,95.51,26.68,1600.24,48,14,Op237,Completed,Prj237,Passed,2026-01-12
Sys0238,Third Automation,Dallas Plant,Line A,Fully Automated,Plc238,Ignition,Abb 800Xa,Abb Irb2600,Stopped,83.93,28.91,1789.37,298,8,Op238,Completed,Prj238,Passed,2024-08-09
Sys0239,Study Automation,Dallas Plant,Line B,Robotic Cell,Plc239,Wonderware,Abb 800Xa,Fanuc M-20Id,Maintenance,77.94,38.27,601.28,293,13,Op239,In Progress,Prj239,Pending,2025-08-07
Sys0240,Material Automation,Chicago Plant,Line A,Semi Automated,Plc240,Wonderware,Abb 800Xa,Kuka Kr10,Idle,96.8,18.25,1392.02,76,1,Op240,In Progress,Prj240,Failed,2026-06-21
Sys0241,Key Automation,Phoenix Plant,Line B,Robotic Cell,Plc241,Factorytalk,Honeywell Experion,Yaskawa Gp25,Stopped,76.46,18.39,774.47,102,7,Op241,In Progress,Prj241,Failed,2025-06-22
Sys0242,Property Automation,Dallas Plant,Line D,Robotic Cell,Plc242,Factorytalk,Honeywell Experion,Yaskawa Gp25,Maintenance,96.9,25.07,1276.76,92,0,Op242,Scheduled,Prj242,Failed,2025-01-26
Sys0243,Policy Automation,Austin Plant,Line A,Semi Automated,Plc243,Wincc,Honeywell Experion,Kuka Kr10,Idle,98.38,13.0,1813.73,136,1,Op243,Completed,Prj243,Failed,2024-11-06
Sys0244,Eat Automation,Chicago Plant,Line C,Fully Automated,Plc244,Ignition,Abb 800Xa,Kuka Kr10,Maintenance,96.94,10.85,1901.12,290,4,Op244,In Progress,Prj244,Passed,2025-01-18
Sys0245,Situation Automation,Chicago Plant,Assembly Line,Semi Automated,Plc245,Ignition,Honeywell Experion,Fanuc M-20Id,Running,76.35,28.05,539.86,244,0,Op245,Scheduled,Prj245,Failed,2026-05-18
Sys0246,Situation Automation,Austin Plant,Line B,Semi Automated,Plc246,Ignition,Honeywell Experion,Fanuc M-20Id,Running,78.55,31.14,783.31,56,11,Op246,Completed,Prj246,Pending,2024-10-14
Sys0247,Account Automation,Chicago Plant,Assembly Line,Fully Automated,Plc247,Factorytalk,Honeywell Experion,Kuka Kr10,Idle,98.42,31.97,1373.74,249,10,Op247,Completed,Prj247,Failed,2024-08-28
Sys0248,Measure Automation,Phoenix Plant,Packaging Line,Robotic Cell,Plc248,Factorytalk,Abb 800Xa,Abb Irb2600,Stopped,82.36,30.65,754.7,0,12,Op248,In Progress,Prj248,Passed,2024-12-23
Sys0249,Perform Automation,Austin Plant,Assembly Line,Semi Automated,Plc249,Ignition,Emerson Deltav,Fanuc M-20Id,Stopped,78.38,32.36,975.99,163,5,Op249,In Progress,Prj249,Passed,2025-05-31
Sys0250,Drive Automation,Houston Plant,Line D,Fully Automated,Plc250,Factorytalk,Abb 800Xa,Abb Irb2600,Running,83.41,33.61,1940.83,24,12,Op250,Scheduled,Prj250,Failed,2025-06-04
Sys0251,Letter Automation,Chicago Plant,Line B,Semi Automated,Plc251,Wonderware,Honeywell Experion,Kuka Kr10,Stopped,77.43,24.38,2228.1,115,5,Op251,Scheduled,Prj251,Passed,2025-04-15
Sys0252,Scientist Automation,Dallas Plant,Line C,Fully Automated,Plc252,Factorytalk,Honeywell Experion,Fanuc M-20Id,Running,83.2,36.64,821.81,38,2,Op252,Scheduled,Prj252,Failed,2025-01-16
Sys0253,Up Automation,Phoenix Plant,Line D,Robotic Cell,Plc253,Wincc,Honeywell Experion,Abb Irb2600,Stopped,78.77,13.04,911.1,97,13,Op253,In Progress,Prj253,Failed,2025-03-15
